Description,Second,Upload,Type,Impression,Reach,Share,Follow,Play,Like,Save,Cleaned_Description,Keyword,Topic,TopicLabel
"#산학협력단 #직업교육혁신지구사업 #캠퍼스투어

<나래와 함께하는 캠퍼스투어>

지난 12월 16일부터 28일까지 🏫천안제일고등학교, 천안여자상업고등학교 등 천안지역 내 여러 고등학교 1~2학년 학생들을 대상으로 ✈️캠퍼스투어를 진행했습니다🤗

👩🏻‍💼홍보대사 나래의 인솔 및 설명 하에 🏭K-factory 집중 투어를 진행했는데요~

🧑🏻‍🏫스마트러닝팩토리 PT를 듣고, 생산라인에서 직접 공정 과정을 자세히 관찰하는 투어를 진행했습니다❗️

이후 🥽홀로렌즈, 🕹VR기기, 🚜굴삭기 및 지게차 운전 시뮬레이션 체험을 통해 실제 설비에 접목된 가상현실과 증강현실을 직접 체험하는 시간을 가졌습니다😉

⚙️생산라인 투어를 진행할 때 학생들이 공정이나 협동 로봇을 이용한 설비 조작에 대해 큰 관심을 가졌으며, 다양한 질문을 했습니다👥💬

특히, AR/VR 체험을 진행할 때 적극적이면서도 질서정연하게 활동에 참여하는 모습이 너무 예뻤답니다~🥰

👥학생들이 평소에 접하기 어려웠던 기기들을 접해서인지 호기심 가득한 눈빛으로 집중해주어 👩🏻‍💼홍보대사 나래도 즐겁게 투어를 진행할 수 있었습니다☺️

학생들의 호기심이 가득했던 캠퍼스투어의 현장❗️ 사진으로 만나보러 가실까요~?😆

📌 코로나19 방역 수칙 및 거리 두기를 철저히 준수하며 캠퍼스투어를 진행했습니다.

*빛나는 미래, 비춰줄 나래 with KOREATECH*

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #카드뉴스 #narae #캠퍼스 #투어 #캠퍼스투어 #산학협력단 #직업교육혁신지구사업 #천안 #천안제일고등학교 #천안여자상업고등학교",0.0,01/15/2022 01:01,IG 슬라이드,4245.0,2988.0,11.0,0.0,0.0,75.0,0.0,산학협력단 직업교육혁신지구사업 캠퍼스투어 나래와 함께하는 캠퍼스투어 지난 12월 16일부터 28일까지 천안제일고등학교 천안여자상업고등학교 천안지역 내 여러 고등학교 1 2학년 학생들을 대상으로 캠퍼스투어를 진행했습니다 홍보대사 나래의 인솔 설명 하에 집중 투어를 진행했는데요 스마트러닝팩토리 듣고 생산라인에서 직접 공정 과정을 자세히 관찰하는 투어를 진행했습니다 이후 홀로렌즈 기기 굴삭기 지게차 운전 시뮬레이션 체험을 통해 실제 설비에 접목된 가상현실과 증강현실을 직접 체험하는 시간을 가졌습니다 생산라인 투어를 진행할 학생들이 공정이나 협동 로봇을 이용한 설비 조작에 대해 큰 관심을 가졌으며 다양한 질문을 했습니다 특히 체험을 진행할 적극적이면서도 질서정연하게 활동에 참여하는 모습이 너무 예뻤답니다 학생들이 평소에 접하기 어려웠던 기기들을 접해서인지 호기심 가득한 눈빛으로 집중해주어 홍보대사 나래도 즐겁게 투어를 진행할 수 있었습니다 학생들의 호기심이 가득했던 캠퍼스투어의 현장 사진으로 만나보러 가실까요 코로나19 방역 수칙 거리 두기를 철저히 준수하며 캠퍼스투어를 진행했습니다 빛나는 미래 비춰줄 나래   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 카드뉴스 캠퍼스 투어 캠퍼스투어 산학협력단 직업교육혁신지구사업 천안 천안제일고등학교 천안여자상업고등학교,"['투어', '캠퍼스', '진행', '나래', '천안']",2,학생 참여 및 동아리 활동
"#2022 #Wings_Magazine #1월호

<사람을 담다, Wings Magazine 2022년 1월호>

띵동! 매월 15일마다 돌아오는 Wings Magazine이 도착했습니다!📮

이번 Wings Magazine은 2022년 첫 Wings Magazine이기도 한데요❗️

이번 Wings Magazine 1월호의 주인공은⁉️ 두구두구~

🧪응용화학공학전공의 하고재비🏃🏻‍♀️ 

🥼에너지·신소재·화학공학부 19학번 👩🏻‍💼허전정윤 학우입니다👏👏

️허전정윤 학우께서는 정말 다양한 교내 활동을 하셨는데요😲

인터뷰 中 ‘사회에 나가게 됐을 때 할 수 없는 활동이 분명 대학교 안에 있다고 생각하기 때문에 많이 도전해보셨으면 좋겠습니다’라는 말을 남기기도 했습니다👥

🎓교내 활동 추천과 💡신입생 꿀팁 또한 준비하셨다고 하니, 지금 바로 만나 보러 가실까요~?😆

Wings Magazine 2022년 2월호의 주인공은 바로 여러분입니다, 지금 바로 도전하세요!!👊

자신의 이야기를 후배들에게 들려주고 싶은 분들도 많은 지원 부탁드립니다🙇🏻‍♀️🧡

👉 http://naver.me/GY2X3d59
※ 링크 클릭이 안 될 시 프로필링크를 통해 접속해주시길 바랍니다.

📌 단체촬영 희망 시, 대표자 한 명이 신청하고 대표자 외 나머지 인원을 폼에 작성해주시길 바랍니다

“사람을 담다, Wings Magazine”

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #narae #날개 #2022 #WingsMagazine #윙스매거진 #윙스메거진 #윙스매거진1월호 #대학내일",0.0,01/15/2022 01:01,IG 슬라이드,6124.0,3968.0,32.0,2.0,0.0,211.0,7.0,2022 1월호 사람을 담다 2022년 1월호 띵동 매월 15일마다 돌아오는 도착했습니다 은 2022년 첫 이기도 한데요 1월호의 주인공은 두구두구 응용화학공학전공의 하고재비 에너지 신소재 화학공학부 19학번 허전정윤 학우입니다 허전정윤 학우께서는 정말 다양한 교내 활동을 하셨는데요 인터뷰 사회에 나가게 됐을 할 수 없는 활동이 분명 대학교 안에 있다고 생각하기 많이 도전해보셨으면 좋겠습니다 라는 말을 남기기도 했습니다 교내 활동 추천과 신입생 꿀팁 준비하셨다고 하니 지금 만나 보러 가실까요 2022년 2월호의 주인공은 여러분입니다 지금 도전하세요 자신의 이야기를 후배들에게 들려주고 싶은 분들도 많은 지원 부탁드립니다 2 3 59 링크 클릭이 안 될 시 프로필링크를 통해 접속해주시길 바랍니다 단체촬영 희망 시 대표자 한 명이 신청하고 대표자 외 나머지 인원을 폼에 작성해주시길 바랍니다 사람을 담다   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 날개 2022 윙스매거진 윙스메거진 윙스매거진1월호 대학내일,"['활동', '윙스', '사람', '주인공', '정윤']",4,학부 및 전공 소개와 커뮤니티 활동
"#2022 #새해맞이 #퀴즈 #이벤트

<2022 새해맞이 퀴즈 이벤트>

안녕하세요, 한국기술교육대학교 재학생 홍보대사 나래입니다😊

🐅2022년 임인년 새해가 밝았는데요☀️

👩🏻‍💼홍보대사 나래가 새해를 맞아 🎁이벤트를 준비했습니다~!👏👏

🌅2022 새해맞이 퀴즈 이벤트 사전영상🎬을 시청하고,

🎓간단한 퀴즈를 풀면 추첨을 통해 🍗푸짐한 상품을 보내드리오니 많은 관심과 참여 부탁드립니다🧡🙇🏻‍♀️

✅ 참여대상: 한국기술교육대학교 공식 SNS 팔로우하고 있는 누구나

✅ 참여기간 : 1월 19일(수) ~ 1월 24일(월)

✅ 참여방법 : 

① 새해맞이 퀴즈 이벤트 사전영상을 시청한다.

② 네이버 폼을 통해 간단한 퀴즈를 풀고 제출한다.

→ http://naver.me/x6ZesYr8
※ 링크 클릭이 안 될 시 프로필링크를 통해 접속해주시길 바랍니다.

✅ 상품 : 

 - BBQ 황금올리브 치킨+콜라 1.25L (20명)

 - 도미노피자 슈퍼슈프림 피자(오리지널)M+콜라 1.25L (20명) 

 - 배스킨라빈스 파인트 (40명)

✅ 당첨자 공지 : 1월 27일(목)

📌 전체 정답자에 한하여 무작위로 추첨을 진행하며, 상품은 추후 기프티콘으로 발송될 예정입니다.

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #narae #2022 #임인년 #새해맞이 #퀴즈 #이벤트 #많은관심부탁드립니다 #많관부",60.0,01/19/2022 06:01,Instagram 릴스,13666.0,12756.0,19.0,96.0,13787.0,134.0,2.0,2022 새해맞이 퀴즈 이벤트 2022 새해맞이 퀴즈 이벤트 안녕하세요  재학생 홍보대사 나래입니다 2022년 임인년 새해가 밝았는데요 홍보대사 나래가 새해를 맞아 이벤트를 준비했습니다 2022 새해맞이 퀴즈 이벤트 사전영상 시청하고 간단한 퀴즈를 풀면 추첨을 통해 푸짐한 상품을 보내드리오니 많은 관심과 참여 부탁드립니다 참여대상  공식 팔로우하고 있는 누구나 참여기간 1월 19일 수 1월 24일 참여방법 새해맞이 퀴즈 이벤트 사전영상을 시청한다 네이버 폼을 통해 간단한 퀴즈를 풀고 제출한다 6 8 링크 클릭이 안 될 시 프로필링크를 통해 접속해주시길 바랍니다 상품 황금올리브 치킨 콜라 1 25 20명 도미노피자 슈퍼슈프림 피자 오리지널 콜라 1 25 20명 배스킨라빈스 파인트 40명 당첨자 공지 1월 27일 목 전체 정답자에 한하여 무작위로 추첨을 진행하며 상품은 추후 기프티콘으로 발송될 예정입니다   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 2022 임인년 새해맞이 퀴즈 이벤트 많은관심부탁드립니다 많관부,"['새해', '퀴즈', '이벤트', '맞이', '홍보']",2,학생 참여 및 동아리 활동
"#2022 #Wings_Magazine #2월호 

<사람을 담다, Wings Magazine 2022년 2월호>

안녕하세요. 매월 15일마다 돌아오는 Wings Magazine입니다 :-)

📰Wings Magazine📰은 인터뷰를 통해 한국기술교육대학교의 사람에 대해 알아가는 잡지인데요~

이번 Wings Magazine 2월호의 주인공은 전기·전자·통신공학부 15학번 김세용 님입니다👏🏻

김세용 님은 매일 자기최면을 통해 삶의 원동력을 얻으신다고 하는데요❗

 자신이 먼저 경험하고, 이 경험을 유튜브를 통해 사람들에게 알리는 ✏️퍼스널 브랜딩✏️을 하고 계신다고 합니다!
그럼 김세용 님의 인터뷰 바로 만나보러 가실까요~?

Wings Magazine 2022년 3월호의 주인공은 바로 여러분입니다🔥

▪️신청링크: http://naver.me/GY2X3d59
📌링크 클릭이 안 될 시 프로필링크를 통해 접속해주시길 바랍니다.
📌 단체촬영 희망 시, 대표자 한 명이 신청하고 대표자 외 나머지 인원을 폼에 작성해주시길 바랍니다
📌 재학생, 휴학생, 졸업생, 교직원 모두 신청하실 수 있습니다.

“사람을 담다, Wings Magazine”

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #narae #날개 #WingsMagazine #윙스매거진 #윙스메거진 #윙스매거진2월호 #대학내일",0.0,02/14/2022 23:02,IG 슬라이드,5468.0,3493.0,23.0,0.0,0.0,145.0,3.0,2022 2월호 사람을 담다 2022년 2월호 안녕하세요 매월 15일마다 돌아오는 입니다 은 인터뷰를 통해 의 사람에 대해 알아가는 잡지인데요 2월호의 주인공은 전기 통신공학부 15학번 김세용 님입니다 김세용 님은 매일 자기최면을 통해 삶의 원동력을 얻으신다고 하는데요 자신이 먼저 경험하고 경험을 유튜브를 통해 사람들에게 알리는 퍼스널 브랜딩 하고 계신다고 합니다 김세용 님의 인터뷰 만나보러 가실까요 2022년 3월호의 주인공은 여러분입니다 신청링크 2 3 59 링크 클릭이 안 될 시 프로필링크를 통해 접속해주시길 바랍니다 단체촬영 희망 시 대표자 한 명이 신청하고 대표자 외 나머지 인원을 폼에 작성해주시길 바랍니다 재학생 휴학생 졸업생 교직원 신청하실 수 있습니다 사람을 담다   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 날개 윙스매거진 윙스메거진 윙스매거진2월호 대학내일,"['사람', '통해', '신청', '링크', '윙스']",4,학부 및 전공 소개와 커뮤니티 활동
"#논산지역 #전공제험

<나래와 함께하는 전공 체험>
▪️논산지역 고등학교 연합 1편

1월 5일부터 6일까지 총 이틀간 🏫논산지역 고등학교 연합 전공 체험🏫을 진행하였는데요!

참여 학교로는 논산고등학교, 논산대건고등학교, 논산여자고등학교, 쌘뽈여자고등학교, 연무고등학교에서 150여 명이 함께해주셨습니다~👏🏻

4분반으로 나누어 진행하였고, 본인의 관심 학부를 선정한 후 연구원님들과 함께 전공 체험을 진행하였습니다❗
각 학부의 전공 체험을 마치고 학생들을 대상으로 진로특강도 진행하였습니다.

이 외에도 ⚙다담창의센터와, K-factory⚙ 체험을 진행하며 우리 학교의 최첨단 장비들을 직접 체험해봤습니다 :-)

학생들은 솔라셀 자동차, LED lamp, 협동 로봇, 지능형 로봇을 직접 체험하였고 열심히 참여해주셨습니다😀

나래 대사들과 함께하는 전공 체험 함께 보러 가실까요~?🧡

본 전공 체험은 코로나 19 방역수칙 및 거리 두기를 준수하여 진행하였습니다.

*빛나는 미래, 비춰줄 나래 with KOREATECH*

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #카드뉴스 #narae #논산 #논산고등학교 #논산대건고등학교 #논산여자고등학교 #쌘뽈여자고등학교 #연무고등학교 #전공프로그램  #체험 #전공체험 #캠퍼스 #투어 #캠퍼스투어",0.0,02/17/2022 00:02,IG 슬라이드,4642.0,3058.0,16.0,0.0,0.0,102.0,0.0,논산지역 전공제험 나래와 함께하는 전공 체험 논산지역 고등학교 연합 1편 1월 5일부터 6일까지 총 이틀간 논산지역 고등학교 연합 전공 체험 진행하였는데요 참여 학교로는 논산고등학교 논산대건고등학교 논산여자고등학교 쌘뽈여자고등학교 연무고등학교에서 150여 명이 함께해주셨습니다 4분반으로 나누어 진행하였고 본인의 관심 학부를 선정한 후 연구원님들과 전공 체험을 진행하였습니다 학부의 전공 체험을 마치고 학생들을 대상으로 진로특강도 진행하였습니다 다담창의센터와 체험을 진행하며 학교의 최첨단 장비들을 직접 체험해봤습니다 학생들은 솔라셀 자동차 협동 로봇 지능형 로봇을 직접 체험하였고 열심히 참여해주셨습니다 나래 대사들과 함께하는 전공 체험 보러 가실까요 본 전공 체험은 코로나 19 방역수칙 거리 두기를 준수하여 진행하였습니다 빛나는 미래 비춰줄 나래   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 카드뉴스 논산 논산고등학교 논산대건고등학교 논산여자고등학교 쌘뽈여자고등학교 연무고등학교 전공프로그램 체험 전공체험 캠퍼스 투어 캠퍼스투어,"['체험', '고등학교', '논산', '전공', '진행']",0,창작물 및 학생 참여 이벤트
"#논산지역 #전공제험

<나래와 함께하는 전공 체험>
▪️논산지역 고등학교 연합 2편

이틀 동안 이루어진 🏫논산지역 고등학교 전공 체험 🏫1편에 이어 2편이 찾아왔습니다~

2편에서는 응용화학공학과, 에너지신소재공학과, 디자인공학과, 산업경영학부에서 전공 체험을 진행했습니다❗

체험 후 🐰나래 대사🐰들과 함께 점심 식사를 마친 뒤, 교내 대즐 카페에서 학교생활, 전공에 관해 이야기하는 시간도 가졌습니다!

전공 체험을 모두 마친 후에는 담헌홀에서 대표 학생이 활동 내용과 소감에 관해 이야기하는 시간도 가졌습니다 :-)

이틀 동안 전공 체험에 참여해주신 논산지역 학생분들 모두 열정적으로 참여해주셔 정말 감사했는데요🥺
교수님과 조교님께 적극적으로 질문을 하고, 강의 자료를 필기하고 촬영하시는 모습이 너무 인상 깊었습니다!

열정적인 전공 체험의 현장, 바로 보러 가시죠~📣

📌본 전공 체험은 코로나 19 방역수칙 및 거리 두기를 준수하여 진행하였습니다.

*빛나는 미래, 비춰줄 나래 with KOREATECH*

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #카드뉴스 #narae #논산 #논산고등학교 #논산대건고등학교 #논산여자고등학교 #쌘뽈여자고등학교 #연무고등학교 #전공프로그램  #체험 #전공체험 #캠퍼스 #투어 #캠퍼스투어",0.0,02/18/2022 01:02,IG 슬라이드,3930.0,2587.0,14.0,0.0,0.0,70.0,0.0,논산지역 전공제험 나래와 함께하는 전공 체험 논산지역 고등학교 연합 2편 이틀 이루어진 논산지역 고등학교 전공 체험 1편에 이어 2편이 찾아왔습니다 2편에서는 응용화학공학과 에너지신소재공학과 디자인공학과 산업경영학부에서 전공 체험을 진행했습니다 체험 후 나래 대사 들과 점심 식사를 마친 뒤 교내 대즐 카페에서 학교생활 전공에 관해 이야기하는 시간도 가졌습니다 전공 체험을 마친 후에는 담헌홀에서 대표 학생이 활동 내용과 소감에 관해 이야기하는 시간도 가졌습니다 이틀 전공 체험에 참여해주신 논산지역 학생분들 열정적으로 참여해주셔 정말 감사했는데요 교수님과 조교님께 적극적으로 질문을 하고 강의 자료를 필기하고 촬영하시는 모습이 너무 인상 깊었습니다 열정적인 전공 체험의 현장 보러 가시죠 본 전공 체험은 코로나 19 방역수칙 거리 두기를 준수하여 진행하였습니다 빛나는 미래 비춰줄 나래   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 카드뉴스 논산 논산고등학교 논산대건고등학교 논산여자고등학교 쌘뽈여자고등학교 연무고등학교 전공프로그램 체험 전공체험 캠퍼스 투어 캠퍼스투어,"['전공', '체험', '논산', '고등학교', '나래']",0,창작물 및 학생 참여 이벤트
"#정시전형 #캠퍼스투어
<나래와 함께하는 캠퍼스 투어>
▪️2022학년도 정시전형 합격자 편
 
지난 2월 4일부터 2월 7일 동안 ☀️22학년도 정시전형 합격자☀️ 31명을 대상으로 캠퍼스 투어가 진행되었습니다!
 
오전에 학교 PT를 마치고, 학생 식당에서 점심 식사 후 교내 카페 대즐에서 나래 대사와 함께 이야기하는 시간을 가졌는데요~😀

22학번 예비 신입생답게 자격증, 동아리, 생활관 등 학교에 대한 궁금한 점을 많이 물어봐 주셨습니다👏🏻👏🏻
 
이후 🏫학생회관, 복지관, 다산정보관, 국제교육센터, 다담창의센터, 생활관, 스마트러닝팩토리🏭의 캠퍼스 투어를 진행하였습니다~
 
또한 나래 대사와 함께 본인의 학부별 공학관/인문경영관을 방문하여 실습실, 강의실, 학부 사무실 등을 방문하기도 하였는데요❗
 
캠퍼스투어에 참여한 학생분께서 실습실 기기를 보며 신기해하던 모습, 학교 선배로 꼭 만나고 싶다는 말 한마디가 감사하고 뿌듯했습니다 🙂

📣어느 때보다 뜨거웠던 2월의 캠퍼스 투어를 공개합니다~📣
 
📌추후 본 캠퍼스투어의 사후 영상이 업로드될 에정입니다.
📌본 캠퍼스 투어는 코로나 19 방역수칙 및 거리 두기를 준수하여 진행하였습니다.
 
*빛나는 미래, 비춰줄 나래 with KOREATECH*
 
#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #카드뉴스 #narae #2022학년도 #정시 #정시전형 #합격자 #전공프로그램 #체험 #전공체험 #캠퍼스 #투어 #캠퍼스투어",0.0,02/24/2022 21:02,IG 슬라이드,3938.0,2450.0,14.0,0.0,0.0,74.0,0.0,정시전형 캠퍼스투어 나래와 함께하는 캠퍼스 투어 2022학년도 정시전형 합격자 편 지난 2월 4일부터 2월 7일 22학년도 정시전형 합격자 31명을 대상으로 캠퍼스 투어가 진행되었습니다 오전에 학교 마치고 학생 식당에서 점심 식사 후 교내 카페 대즐에서 나래 대사와 이야기하는 시간을 가졌는데요 22학번 예비 신입생답게 자격증 동아리 생활관 학교에 대한 궁금한 점을 많이 물어봐 주셨습니다 이후 학생회관 복지관 다산정보관 국제교육센터 다담창의센터 생활관 스마트러닝팩토리 캠퍼스 투어를 진행하였습니다 나래 대사와 본인의 학부별 공학관 인문경영관을 방문하여 실습실 강의실 학부 사무실 등을 방문하기도 하였는데요 캠퍼스투어에 참여한 학생분께서 실습실 기기를 보며 신기해하던 모습 학교 선배로 꼭 만나고 싶다는 말 한마디가 감사하고 뿌듯했습니다 때보다 뜨거웠던 2월의 캠퍼스 투어를 공개합니다 추후 본 캠퍼스투어의 사후 영상이 업로드될 에정입니다 본 캠퍼스 투어는 코로나 19 방역수칙 거리 두기를 준수하여 진행하였습니다 빛나는 미래 비춰줄 나래   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 카드뉴스 2022학년도 정시 정시전형 합격자 전공프로그램 체험 전공체험 캠퍼스 투어 캠퍼스투어,"['캠퍼스', '투어', '나래', '정시', '전형']",2,학생 참여 및 동아리 활동
"#2022학년도 #정시 #대학입학정보박람회

<나래가 다녀온 2022학년도 정시 대학입학정보 박람회>

안녕하세요, 한국기술교육대학교 재학생 홍보대사 나래입니다😊

👩🏻‍💼홍보대사 나래가 지난 12월 16일부터 18일까지 진행한 <2022학년도 정시 대학입학정보 박람회>에 다녀왔습니다👏👏

🏫우리 한국기술교육대학교 부스에도 많은 분들이 오셔서 정시 상담을 받고 가셨는데요❗️

🧑🏻‍💼타대학 홍보대사분들도 만났답니다☺️

열정이 가득했던 2022학년도 정시 대학입학정보 박람회 현장❗️영상으로 만나보러 가실까요~?😆

촬영에 함께해 준 타대학 홍보대사 분들께 감사 인사 드립니다🙇🏻‍♀️🧡

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #narae #2022학년도 #정시 #대학입학정보박람회 #끝까지 #화이팅",51.0,01/03/2022 03:01,Instagram 릴스,3709.0,2678.0,23.0,0.0,3856.0,101.0,0.0,2022학년도 정시 대학입학정보박람회 나래가 다녀온 2022학년도 정시 대학입학정보 박람회 안녕하세요  재학생 홍보대사 나래입니다 홍보대사 나래가 지난 12월 16일부터 18일까지 진행한 2022학년도 정시 대학입학정보 박람회 다녀왔습니다  부스에도 많은 분들이 오셔서 정시 상담을 받고 가셨는데요 타대학 홍보대사분들도 만났답니다 열정이 가득했던 2022학년도 정시 대학입학정보 박람회 현장 영상으로 만나보러 가실까요 촬영에 함께해 준 타대학 홍보대사 분들께 감사 인사 드립니다   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 2022학년도 정시 대학입학정보박람회 끝까지 화이팅,"['정시', '홍보', '대사', '학년', '대학입학']",2,학생 참여 및 동아리 활동
"#천안불당고등학교 #캠퍼스투어

<나래와 함께하는 캠퍼스투어>

안녕하세요, 한국기술교육대학교 재학생 홍보대사 나래입니다😊

🎊2022년을 기점으로 <나래와 함께하는 캠퍼스투어/전공 체험>이 새롭게 리뉴얼되었습니다👏👏

지난 12월 22일 천안불당고등학교 2학년 학생 23명을 대상으로 캠퍼스투어를 진행했습니다🤗

✈️캠퍼스투어는 학교 PT 진행 후 다담창의센터, GEC, 다산정보관, K-factory 순으로 진행했는데요💁🏻‍♀️

📡전기·전자·통신공학부에 관심이 있는 학생들을 위해 🥼전기전공 실습실과 전자전공 실습실 또한 방문했습니다👥

👨🏻‍🔬교수님과 연구원님의 설명에 따라 간단한 ⚙️실습 장비를 직접 체험해보고, 🏎졸업작품에 대한 설명 들으며 진로에 대해 탐색할 수 있는 시간을 가졌습니다😉

특히 완성된 작품을 보거나 실습 장비를 볼 때 큰 관심을 보였는데요🤭

🏫우리 한국기술교육대학교에 다니고 싶고, 나중에 선후배로 만나고 싶다고 하여 홍보대사 나래도 뿌듯했답니다☺️

학생들의 열정이 가득했던 캠퍼스투어의 현장❗️ 새롭게 리뉴얼된 📰카드 뉴스와 함께 만나보러 가실까요~?😆

📌 코로나 19 방역 수칙 및 거리 두기를 철저히 준수하며 캠퍼스투어를 진행했습니다.

*빛나는 미래, 비춰줄 나래 with KOREATECH*

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #홍보대사 #나래 #홍보대사나래 #입학홍보팀 #카드뉴스 #narae #캠퍼스 #투어 #캠퍼스투어 #천안 #천안불당고등학교 #천안불당고",0.0,01/05/2022 21:01,IG 슬라이드,4026.0,2587.0,19.0,0.0,0.0,99.0,0.0,천안불당고등학교 캠퍼스투어 나래와 함께하는 캠퍼스투어 안녕하세요  재학생 홍보대사 나래입니다 2022년을 나래와 함께하는 캠퍼스투어 전공 체험 새롭게 리뉴얼되었습니다 지난 12월 22일 천안불당고등학교 2학년 학생 23명을 대상으로 캠퍼스투어를 진행했습니다 캠퍼스투어는 학교 진행 후 다담창의센터 다산정보관 순으로 진행했는데요 전기 통신공학부에 관심이 있는 학생들을 위해 전기전공 실습실과 전자전공 실습실 방문했습니다 교수님과 연구원님의 설명에 간단한 실습 장비를 직접 체험해보고 졸업작품에 대한 설명 들으며 진로에 대해 탐색할 수 있는 시간을 가졌습니다 특히 완성된 작품을 보거나 실습 장비를 볼 큰 관심을 보였는데요 에 다니고 싶고 나중에 선후배로 만나고 싶다고 하여 홍보대사 나래도 뿌듯했답니다 학생들의 열정이 가득했던 캠퍼스투어의 현장 새롭게 리뉴얼된 카드 뉴스와 만나보러 가실까요 코로나 19 방역 수칙 거리 두기를 철저히 준수하며 캠퍼스투어를 진행했습니다 빛나는 미래 비춰줄 나래   한국기술교육대 대학 대학교 홍보대사 나래 홍보대사나래 입학홍보팀 카드뉴스 캠퍼스 투어 캠퍼스투어 천안 천안불당고등학교 천안불당고,"['캠퍼스', '투어', '나래', '천안', '불당']",2,학생 참여 및 동아리 활동
"#2022학년도 #신입생 #편입생
<나래와 함께하는 캠퍼스투어 >
▪️2022학년도 신/편입생편

지난 3월 11일부터 13일까지 이틀 동안 ✨신입생과 편입생✨을 대상으로 캠퍼스투어를 진행했습니다!

투어 장소로는 🏫학생회관, 복지관, 국제교육센터, 다담창의센터, 다산정보관 🏢등이 있었는데요~
그리고 참여한 재학생을 위해 새롭게 추가한 👉🏻담헌실학관👈🏻도 투어를 진행했습니다!

또한 홍보대사 나래와 함께 동아리, 주변 맛집, 전공 관련 등 평소에 궁금했던 것들을 공유하는 시간도 가졌는데요🙂

대면 수업 기간임에도 많은 관심을 주신 참여자 여러분께 모두 감사의 말씀을 드립니다🙏🏻

#한국기술교육대학교 #koreatech #한기대 #한국기술교육대 #대학 #대학교 #입학홍보팀 #카드뉴스 #2022학년도 #신입생 #편입생 #캠퍼스투어 #학생회관 #복지관 #다산정보관 #담헌실학관 #다담창의센터 #국제교육센터",0.0,03/25/2022 05:03,IG 슬라이드,4572.0,2819.0,16.0,0.0,0.0,84.0,4.0,2022학년도 신입생 편입생 나래와 함께하는 캠퍼스투어 2022학년도 신 편입생편 지난 3월 11일부터 13일까지 이틀 신입생과 편입생 대상으로 캠퍼스투어를 진행했습니다 투어 장소로는 학생회관 복지관 국제교육센터 다담창의센터 다산정보관 등이 있었는데요 참여한 재학생을 위해 새롭게 추가한 담헌실학관 도 투어를 진행했습니다 홍보대사 나래와 동아리 주변 맛집 전공 관련 평소에 궁금했던 것들을 공유하는 시간도 가졌는데요 대면 수업 기간임에도 많은 관심을 주신 참여자 여러분께 감사의 말씀을 드립니다   한국기술교육대 대학 대학교 입학홍보팀 카드뉴스 2022학년도 신입생 편입생 캠퍼스투어 학생회관 복지관 다산정보관 담헌실학관 다담창의센터 국제교육센터,"['투어', '편입', '센터', '학년', '신입생']",1,만화 및 카툰 시리즈 창작
