Date,Question,Answer,Cleaned_Answer,Keyword_Answer,Topic_Answer,TopicLabel_Answer
2023-01-06,한기대 기숙사 신청은 어떻게 하나요?,"네, 질문자님께서 재학생이라면 모집계획인 2022.12.20(화)~202301.08(일) 23:59분까지 아우누리(대학포털)에 들어가셔서 학사-> 생활관-> 입사지원신청을 해야합니다. 지원 전 유의사항은 다음과 같습니다.

1. 지원 전 반드시 본 공지사항의 첨부파일(안내문)을 꼼곰히 확인 후 지원바랍니다. (미확인에 따른 불이익 발생 시 생활관에서는 도움을 드릴 수 없음)
2. 본 생활관생 모집은 선착순으로 진행되지 않으며, 기한 내 모든 지원자는 전원 동일한 기준을 적용받습니다. 따라서 신중히 고민 후 지원바라며, 입사 지원 취소 희망 시 반드시 신청화면의 “신청 취소” 처리바랍니다.
3. 조기 복학 등의 사유로 아우누리에서 입사 신청이 불가한 학생은 첨부파일(안내문)을 확인하시어 이메일로 신청바랍니다.

아울러 학부(과) 신입생 생활관생 모집은 23년 2월경 별도 안내 예정이며, 대학원 신입생 생활관생 모집은 추가모집 때 진행 예정임을 알려드립니다.

기숙사 신청 및 관련 안내는 아래 연락처로 문의해주시길 바랍니다.

문의처: 한국기술교육대학교 학생생활관
1. 연락처: 041-560-1260(또는 dorm@학교메. 일)
＊ 이메일 문의 시 인적사항 반드시 기재
2. 근무시간: 월~금 09:00 ~ 18:00 (점심시간, 공휴일 제외)",질문자님께서 재학생이라면 모집계획인 2022 12 20 202301 08 23 59분까지 아우누리 포털 들어가셔서 학사 생활관 입사지원신청을 해야합니다 지원 유의사항은 다음과 같습니다 지원 반드시 공지사항의 첨부파일 안내문 꼼곰히 확인 지원바랍니다 미확인에 따른 불이익 발생 생활관에서는 도움을 드릴 없음 생활관생 모집은 선착순으로 진행되지 않으며 기한 모든 지원자는 전원 동일한 기준을 적용받습니다 따라서 신중히 고민 지원바라며 입사 지원 취소 희망 반드시 신청화면의 신청 취소 처리바랍니다 조기 복학 등의 사유로 아우누리에서 입사 신청이 불가한 학생은 첨부파일 안내문 확인하시어 이메일로 신청바랍니다 아울러 학부 신입생 생활관생 모집은 23년 2월경 별도 안내 예정이며 원 신입생 생활관생 모집은 추가모집 진행 예정임을 알려드립니다 기숙사 신청 관련 안내는 아래 연락처로 문의해주시길 바랍니다 문의처 교 학생생활관 연락처 041 560 1260 또는 학교메 이메일 문의 인적사항 반드시 기재 근무시간 09 00 18 00 점심시간 공휴일 제외,"['지원', '생활관', '신청', '모집', '입사']",0,학생 모집 및 입학 전형
2023-01-07,"안녕하세요
한기대는 정시조기발표 계획없으신가요?",아직 조기발표 계획은 미정이오니 참고 해주세요??,아직 조기발표 계획은 미정이오니 참고 해주세요,"['조기', '발표', '계획', '미정', '참고']",4,신입생 입학 및 수업 안내
2023-01-07,"기숙사생들 식사는 월별결제인가요?
개인카드로 먹을때마다 결제하나요?","식사는 달별로 결제해서 매번 주는 개념이 아니라 학생 식당에 가서 매번 결제를 해서 먹거나,
아니면 학교주변 음식점에서 배달음식을 시켜먹는 형태입니다.
아니면 자취를 한다면 음식재료를 사서 직접 해먹기도 하고요
참고 해주시면 되겠습니다??",식사는 달별로 결제해서 매번 주는 개념이 아니라 학생 식당에 가서 매번 결제를 해서 먹거나 아니면 학교주변 음식점에서 배달음식을 시켜먹는 형태입니다 아니면 자취를 한다면 음식재료를 사서 직접 해먹기도 하고요 참고 해주시면 되겠습니다,"['결제', '매번', '식사', '달별', '개념']",5,학과별 학부 프로그램 및 재학생 정보
2023-01-07,기숙사에 들어가려면 별도의 신청을 해야 하나요?,"네, 질문자님께서 재학생이라면 모집계획인 2022.12.20(화)~202301.08(일) 23:59분까지 아우누리(대학포털)에 들어가셔서 학사-> 생활관-> 입사지원신청을 해야합니다. 지원 전 유의사항은 다음과 같습니다.

1. 지원 전 반드시 본 공지사항의 첨부파일(안내문)을 꼼곰히 확인 후 지원바랍니다. (미확인에 따른 불이익 발생 시 생활관에서는 도움을 드릴 수 없음)
2. 본 생활관생 모집은 선착순으로 진행되지 않으며, 기한 내 모든 지원자는 전원 동일한 기준을 적용받습니다. 따라서 신중히 고민 후 지원바라며, 입사 지원 취소 희망 시 반드시 신청화면의 “신청 취소” 처리바랍니다.
3. 조기 복학 등의 사유로 아우누리에서 입사 신청이 불가한 학생은 첨부파일(안내문)을 확인하시어 이메일로 신청바랍니다.

아울러 학부(과) 신입생 생활관생 모집은 23년 2월경 별도 안내 예정이며, 대학원 신입생 생활관생 모집은 추가모집 때 진행 예정임을 알려드립니다.

기숙사 신청 및 관련 안내는 아래 연락처로 문의해주시길 바랍니다.

문의처: 한국기술교육대학교 학생생활관
1. 연락처: 041-560-1260(또는 dorm@학교메. 일)
＊ 이메일 문의 시 인적사항 반드시 기재
2. 근무시간: 월~금 09:00 ~ 18:00 (점심시간, 공휴일 제외)",질문자님께서 재학생이라면 모집계획인 2022 12 20 202301 08 23 59분까지 아우누리 포털 들어가셔서 학사 생활관 입사지원신청을 해야합니다 지원 유의사항은 다음과 같습니다 지원 반드시 공지사항의 첨부파일 안내문 꼼곰히 확인 지원바랍니다 미확인에 따른 불이익 발생 생활관에서는 도움을 드릴 없음 생활관생 모집은 선착순으로 진행되지 않으며 기한 모든 지원자는 전원 동일한 기준을 적용받습니다 따라서 신중히 고민 지원바라며 입사 지원 취소 희망 반드시 신청화면의 신청 취소 처리바랍니다 조기 복학 등의 사유로 아우누리에서 입사 신청이 불가한 학생은 첨부파일 안내문 확인하시어 이메일로 신청바랍니다 아울러 학부 신입생 생활관생 모집은 23년 2월경 별도 안내 예정이며 원 신입생 생활관생 모집은 추가모집 진행 예정임을 알려드립니다 기숙사 신청 관련 안내는 아래 연락처로 문의해주시길 바랍니다 문의처 교 학생생활관 연락처 041 560 1260 또는 학교메 이메일 문의 인적사항 반드시 기재 근무시간 09 00 18 00 점심시간 공휴일 제외,"['지원', '생활관', '신청', '모집', '입사']",0,학생 모집 및 입학 전형
2023-01-09,저 합격증 출력받고 싶은데 가능할까요,"네 현재 합격증명서 확인 기간을 연장해놓았으니 출력 가능합니다. 관련 링크 첨부하오니 참고부탁드립니다:)

https:trs02.uwayapply.com0388K73F5N3FVVVVVULPN4",현재 합격증명서 확인 기간을 연장해놓았으니 출력 가능합니다 관련 링크 첨부하오니 참고부탁드립니다 02 0388 73,"['현재', '합격', '증명서', '확인', '기간']",5,학과별 학부 프로그램 및 재학생 정보
2023-01-09,학사일정도 알수있을가요,"네, 학사 일정이 안내되어 있는 링크를 첨부해 드리오니 참고 부탁드립니다.
https://www.koreatech.ac.kr/kor/CMS/ScheduleMgr/YearList.do?mCode=MN338",학사 일정이 안내되어 있는 링크를 첨부해 드리오니 참고 부탁드립니다 338,"['학사', '일정', '링크', '첨부', '참고']",0,학생 모집 및 입학 전형
2023-01-09,"아우누리 가입 문자를 받았는데요, 학생이메일이 아직 등록을 안한경우, 자세한 내용을 어떻케 받을수 있는지. 로그인하려고 하는데 아이디와 비번을 모르는데

어떻케 하면 될까요?^^","네 온라인 교육 lms 접속 방법으로는 아래와 같습니다.

1. 온라인 교육 접속(el2.koreatech.ac.kr)

2. 아이디(ID): 휴대폰 8자리(010 제외)
3. 비밀번호(PW): 생년월일(6자리)로 입력 후 좌측 상단 “과정”-> 수강중인 공개강좌(OCW)-> 예비 신입생 대상 온라인기초 수학 클릭
4. 기간에 맞춰 강의수강

위 강좌와 관련한 사진을 첨부하오니 참고 부탁드리겠습니다.",온라인  접속 방법으로는 아래와 같습니다 온라인  접속 아이디 휴대폰 8자리 010 제외 비밀번호 생년월일 6자리 입력 좌측 상단 과정 수강중인 공개강좌 예비 신입생 대상 온라인기초 수학 클릭 기간에 맞춰 강의수강 강좌와 관련한 사진을 첨부하오니 참고 부탁드리겠습니다,"['온라인', '접속', '자리', '방법', '아래']",4,신입생 입학 및 수업 안내
2023-01-09,"안녕하세요. 올해 입학할 예비학생인데 제가 어딘가 정보를 잘못 입력했나본지 학교, 학과 관련 메시지가 제 번호가 아닌 부모님 전화번호로 오게 되더라고요...

혹시 이런 전화번호같은 정보들을 수정할 방법이 있나요?","네 정보 수정을 위해 질문자님의 성함과 학부명을 알려주시면 담당 선생님께 문의 후 수정 도와드리겠습니다.

https:trs02.uwayapply.com0388K73F5N3FVVVVVULPN4",정보 수정을 위해 질문자님의 성함과 학부명을 알려주시면 담당 선생님께 문의 수정 도와드리겠습니다 02 0388 73,"['수정', '정보', '위해', '질문', '성함']",2,학교 문의 및 창의적 학습 지원
2023-01-09,"네! 최현준-메카트로닉스공학부 입니다.
010-3655-1156으로 되어있을텐데 010-8592-1156으로 수정 부탁드려요.","네, 질문자님께서 요청하신 개인정보 수정 사항 변경 완료 되었으니 확인부탁드립니다.",질문자님께서 요청하신 개인정보 수정 사항 변경 완료 되었으니 확인부탁드립니다,"['질문', '요청', '개인정보', '수정', '사항']",4,신입생 입학 및 수업 안내
2023-01-11,"안녕하세요 입학 원서 관련해서 문의 드립니다. 유웨이어플라이에서 원서 접수 마쳤고 서류 제출을 위해 입학원서 출력을 했는데 증명사진까지 출력이 되더라구요
 혹시 증명사진 따로 부착 안 하고 출력한 거 그대로 서류 제출 해도 될까요?","네, 혹시 질문자님 어떤 전형으로 응시 했는지 여쭤볼 수 있을까요? 만약 일학습병행 대학 지원 응시 전형인 경우, 증명사진 부착 없이 제출 하셔도 됩니다.",혹시 질문자님 어떤 전형으로 응시 했는지 여쭤볼 있을까요 만약 일학습병행  지원 응시 전형인 경우 증명사진 부착 없이 제출 하셔도 됩니다,"['전형', '응시', '혹시', '질문', '만약']",2,학교 문의 및 창의적 학습 지원
