콘텐츠,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,평균 시청 지속 시간,노출수,노출 클릭률 (%)
합계,,,4898269,57601.8768,7457,0:00:42,13048191,4.65
Jm5lEgjtdfI,[코리아텍/한국기술교육대학교] 광고영상7,28-Jun-19,3611486,15133.1746,51,0:00:15,263434,2.45
cZ50-hNWFTU,"너의 스무살은 어때? 나의, 한기로운 스무살 | 한국기술교육대학교",13-Jul-23,136153,194.351,56,0:00:05,31283,4.01
A7g-W6FZ8vU,당황스럽다 기말고사ver.,03-Jun-22,25569,152.4959,10,0:00:21,65911,6.29
h7Q6Lt5hCHQ,[알쓸대잡] 한국기술교육대학교 전기전자통신공학부 꿈의직장으로 직행,03-Sep-20,24050,796.9063,6,0:01:59,113687,6.42
R_fqKI0lxI4,[알쓸대잡] 한국기술교육대학교 메카트로닉스 공학부를 가면 신의 직장으로 직행?,02-Sep-20,19673,768.8999,33,0:02:20,200256,6.48
AXdaHVjUEbc,디지털 기초역량 특강 1편 | 인간을 대체할 로봇&챗봇 [한국기술교육대학교/KOREATECH],24-Dec-20,18949,839.8457,571,0:02:39,57729,2.96
Ec0oqoYwW5Q,[KOREATECH/구독이벤트] 현타주의 리얼대학생활 ‘최초공개‘,28-Aug-20,18371,104.6116,525,0:00:20,52642,8.23
Y4F2roIiqN4,[코리아텍] 홍보영상 (By. Team 추수),21-Feb-17,17950,962.1285,37,0:03:12,149415,6.71
yP8btWnxZLI,[알쓸대잡] 한국기술교육대학교 산업경영학부 취업걱정은 끝!,04-Sep-20,16051,785.0821,18,0:02:56,120931,6.15
VwzCtFHYsZo,기계공학부 재학생들의 하루 | 공대생 브이로그 [한국기술교육대학교/KOREATECH],10-Mar-20,15114,340.4629,34,0:01:21,158684,8.04
vp_qgQ1GwUg,[한국기술교육대학교/코리아텍] 2019 코리아텍 립덥영상,25-Nov-19,14323,518.0077,18,0:02:10,171523,6.06
UJ94SMABFAw,핸드폰 배경화면 뭐에요?(한기대편) #shorts #reels,20-Feb-23,13833,124.0509,9,0:00:32,91783,6.15
G4Y1THbfwUM,취업률 전국 1위? 한국기술교육대학교를 조사해 봤습니다 | 그 학교가 알고싶다 [한국기술교육대학교/KOREATECH],08-Oct-21,13352,311.2442,169,0:01:23,68680,6.23
0YfCBkss_tk,한국기술교육대학교 '2020 온라인 한율제',07-Oct-20,10845,2041.6595,11,0:11:17,17073,37.05
B4A-0wC_d8Q,[알쓸대잡] 한국기술교육대학교 기계공학부는 별5개짜리!,03-Sep-20,10571,271.3851,38,0:01:32,73215,4.4
uHeF0_I7f7k,[알쓸대잡] 한국기술교육대학교 디자인공학부의 놀라운 하루!,02-Sep-20,10039,363.1346,13,0:02:10,82373,6.08
